time_s,rppg,ppg
1762522917.322427,-0.917706,-0.501416
1762522917.355760,-0.323313,-0.221948
1762522917.389094,0.302788,0.004652
1762522917.422427,0.897175,0.146224
1762522917.455761,1.121849,0.192742
1762522917.489095,0.988734,0.156450
1762522917.522428,0.468980,0.066788
1762522917.555762,-0.220317,-0.038067
1762522917.589096,-0.867367,-0.120538
1762522917.622429,-1.165197,-0.151630
1762522917.655763,-0.996780,-0.116178
1762522917.689096,-0.442498,-0.014891
1762522917.722430,0.284992,0.136608
1762522917.755764,0.967824,0.311221
1762522917.789097,1.356539,0.475740
1762522917.822431,1.367559,0.597498
1762522917.855765,1.029003,0.651341
1762522917.889098,0.607191,0.625507
1762522917.922432,0.212059,0.524837
1762522917.955765,0.024121,0.370080
1762522917.989099,-0.003656,0.192963
1762522918.022433,0.082062,0.028061
1762522918.055767,0.099002,-0.096206
1762522918.089100,0.003052,-0.164741
1762522918.122434,-0.218983,-0.178934
1762522918.155767,-0.407165,-0.154988
1762522918.189101,-0.522958,-0.117997
